Acrobolbus,顶苞苔属
Lejeunea latilobula,宽叶细鳞苔
Lejeunea lepatii,台湾湿鳞苔
Lejeunea lumbricoides,树生细鳞苔
Lejeunea luzonensis,吕宋细鳞苔
Lejeunea magohukui,三重细鳞苔
Lejeunea micholitzii,麦氏细鳞苔
Lejeunea neelgherriana,尖叶细鳞苔
Lejeunea obscura,暗绿细鳞苔
Lejeunea otiana,角齿细鳞苔
Lejeunea pallidevirens,淡绿细鳞苔
Lejeunea parva,小叶细鳞苔
Lejeunea patersonii,柏氏细鳞苔
Lejeunea planiloba,平瓣细鳞苔
Lejeunea riparia,湄生细鳞苔
Lejeunea soae,中华细鳞苔
Lejeunea sordida,大叶细鳞苔
Lejeunea stevensiana,喜马拉雅细鳞苔
Lejeunea subacuta,落叶细鳞苔
Lejeunea tuberculosa,疣萼细鳞苔
Lejeunea wightii,魏氏细鳞苔
Lepidolejeunea bidentula,指鳞苔
Leptolejeunea amphiophthalma,斑点薄鳞苔
Leptolejeunea apiculata,拟薄鳞苔
Leptolejeunea balansae,巴氏薄鳞苔
Leptolejeunea elliptica,尖叶薄鳞苔
Leptolejeunea emarginata,微齿薄鳞苔
Leptolejeunea epiphylla,小瓣薄鳞苔
Leptolejeunea latifolia,阔叶薄鳞苔
Leptolejeunea maculata,散生薄鳞苔
Leptolejeunea subdentata,弱齿薄鳞苔
Leptolejeunea truncatifolia,截叶薄鳞苔
Lopholejeunea applanata,扁平冠鳞苔
Lopholejeunea ceylanica,锡兰冠鳞苔
Lopholejeunea eulopha,大叶冠鳞苔
Lopholejeunea herzogiana,赫氏冠鳞苔
Lopholejeunea latilobula,阔瓣冠鳞苔
Lopholejeunea nigricans,黑冠鳞苔
Lopholejeunea soae,苏氏冠鳞苔
Lopholejeunea subfusca,褐冠鳞苔
Lopholejeunea zollingeri,宽叶冠鳞苔
Mastigolejeunea auriculata,鞭鳞苔
Mastigolejeunea humilis,矮鞭鳞苔
Mastigolejeunea indica,大瓣鞭鳞苔
Mastigolejeunea repleta,南亚鞭鳞苔
Mastigolejeunea virens,绿鞭鳞苔
Metalejeunea cucullata,假细鳞苔
Microlejeunea punctiformis,斑叶纤鳞苔
Microlejeunea szechuanensis,重庆纤鳞苔
Microlejeunea ulicina,疏叶纤鳞苔
Otolejeunea semperiana,森泊耳鳞苔
Phaeolejeunea latistipula,黑鳞苔
Ptychanthus striatus,皱萼苔
Pycnolejeunea grandiocellata,大胞密鳞苔
Schiffneriolejeunea polycarpa,多果尼鳞苔
Schiffneriolejeunea pulopenangensis,马来尼鳞苔
Schiffneriolejeunea tumida,希福尼鳞苔
Schiffneriolejeunea tumida var. haskarliana,平边希福尼鳞苔
Soella obtusifolia,苏鳞苔
Spruceanthus falcatus,镰叶多褶苔
Spruceanthus kiushianus,东亚多褶苔
Spruceanthus mamillilobulus,疣叶多褶苔
Spruceanthus planiusculus,平叶多褶苔
Spruceanthus polymorphus,变异多褶苔
Spruceanthus semirepandus,多褶苔
Thysananthus aculeatus,东亚毛鳞苔
Thysananthus convolutus,席卷毛鳞苔
Thysananthus flavescens,黄叶毛鳞苔
Thysananthus retusus,微凹毛鳞苔
Thysananthus spathulistipus,棕红毛鳞苔
Tuyamaella ahgulistipa,细齿鞍叶苔
Tuyamaella molischii,鞍叶苔
Tuyamaella molischii var. brevistipa,短茎鞍叶苔
Tuyamaella molischii var. molischii,鞍叶苔(原变种)
Tuyamaella molischii var. taiwanensis,台湾鞍叶苔
Tuzibeanthus chinensis,异鳞苔
Vitalianthus guangxianus,广西油肋苔
Lepicolea,复叉苔属
Lepicolea scolopendra,复叉苔
Lepicolea yakusimensis,东亚复叉苔
Acromastigum,细鞭苔属
Bazzania,鞭苔属
Kurzia,细指苔属
Lepidozia,指叶苔属
Neolepidozia,新指叶苔属
Zoopsis,虫叶苔属
Acromastigum divaricatum,细鞭苔
Bazzania albifolia,白叶鞭苔
Bazzania angustifolia,狭叶鞭苔
Bazzania appendiculata,基裂鞭苔
Bazzania assamica,阿萨密鞭苔
Bazzania bidentula,双齿鞭苔
Bazzania bilobata,二瓣鞭苔
Bazzania ceylanica,孟加拉鞭苔
Bazzania conophylla,圆叶鞭苔
Bazzania debilis,柔弱鞭苔
Bazzania denudata,裸茎鞭苔
Bazzania fauriana,厚角鞭苔
Bazzania griffithiana,南亚鞭苔
Bazzania himlayana,喜马拉雅鞭苔
Bazzania imbricata,瓦叶鞭苔
Bazzania japonica,日本鞭苔
Bazzania magna,大叶鞭苔
Bazzania mayabarae,瘤叶鞭苔
Bazzania oshimensis,白边鞭苔
Bazzania ovistipula,小叶鞭苔
Bazzania pearsonii,弯叶鞭苔
Bazzania pompeana,尖齿鞭苔
Bazzania praerupta,东亚鞭苔
Bazzania revoluta,仰叶鞭苔
Bazzania semiopacea,深绿鞭苔
Bazzania serrulatioides,齿叶鞭苔
Bazzania sikkimensis,锡金鞭苔
Bazzania spiralis,旋叶鞭苔
Bazzania tiaoloensis,吊罗鞭苔
Bazzania tricrenata,三齿鞭苔
Bazzania tridens,三裂鞭苔
Bazzania trilobata,鞭苔
Bazzania vietnamica,越南鞭苔
Bazzania vittata,假肋鞭苔
Bazzania yoshinagana,卷叶鞭苔
Kurzia abietinella,掌叶细指苔
Kurzia gonyotricha,细指苔
Kurzia makinoana,牧野细指苔
Kurzia pauciflora,刺毛细指苔
Kurzia sinensis,中华细指苔
Kurzia sylvatica,林下细指苔
Lepidozia fauriana,东亚指叶苔
Lepidozia filamentosa,丝形指叶苔
Lepidozia flexuosa,曲叶指叶苔
Lepidozia omeiensis,峨眉指叶苔
Lepidozia reptans,指叶苔
Lepidozia robusta,大指叶苔
Lepidozia sandvicensis,深裂指叶苔
Lepidozia subintegra,鳞片指叶苔
Lepidozia subtransversa,圆钝指叶苔
Lepidozia suyungii,苏氏指叶苔
Lepidozia trichodes,细指叶苔
Lepidozia vitrea,硬指叶苔
Neolepidozia wallichiana,瓦氏新指叶苔
Zoopsis liukiuensis,东亚虫叶苔
Chiloscyphus,裂萼苔属
Heteroscyphus,异萼苔属
Leptoscyphus,薄萼苔属
Chiloscyphus aposinensis,刺毛裂萼苔
Chiloscyphus breviculus,台湾裂萼苔
Chiloscyphus ciliolatus,毛口裂萼苔
Chiloscyphus coadunatus,弯尖裂萼苔
Chiloscyphus costatus,大苞裂萼苔
Chiloscyphus cuspidatus,尖叶裂萼苔
Chiloscyphus fragrans,香气裂萼苔
Chiloscyphus horikawanus,圆叶裂萼苔
Chiloscyphus integristipulus,全缘裂萼苔
Chiloscyphus itoanus,疏叶裂萼苔
Chiloscyphus japonicus,东亚裂萼苔
Chiloscyphus latifolius,双齿裂萼苔
Chiloscyphus minor,芽胞裂萼苔
Chiloscyphus minor var. chinensis,陕西芽胞裂萼苔
Chiloscyphus minor var. minor,芽胞裂萼苔(原变种)
Chiloscyphus muricatus,锐刺裂萼苔
Chiloscyphus polyanthos,裂萼苔
Chiloscyphus polyanthos var. fragilis,脆叶裂萼苔
Chiloscyphus polyanthos var. polyanthos,裂萼苔(原变种)
Chiloscyphus polyanthos var. rivularis,水生裂萼苔
Chiloscyphus profundus,异叶裂萼苔
Chiloscyphus schiffneri,爪哇裂萼苔
Chiloscyphus semiteres,大裂萼苔
Chiloscyphus sikkimensis,锡金裂萼苔
Chiloscyphus sinensis,中华裂萼苔
Chiloscyphus yunnanensis,云南裂萼苔
Heteroscyphus acutangulus,锐齿异萼苔
Heteroscyphus argutus,四齿异萼苔
Heteroscyphus aselliformis,异萼苔
Heteroscyphus coalitus,双齿异萼苔
Heteroscyphus flaccidus,脆叶异萼苔
Heteroscyphus lophocoleoides,叉齿异萼苔
Heteroscyphus planus,平叶异萼苔
Heteroscyphus saccogynoids,全缘异萼苔
Heteroscyphus spiniferus,长齿异萼苔
Heteroscyphus splendens,亮叶异萼苔
Heteroscyphus succulentus,鲜绿异萼苔
Heteroscyphus tener,圆叶异萼苔
Heteroscyphus tridentatus,三齿异萼苔
Heteroscyphus turgidus,膨体异萼苔
Heteroscyphus zollingeri,南亚异萼苔
Leptoscyphus sichuanensis,四川薄萼苔
Lophozia,裂叶苔属
Lophoziopsis,拟裂叶苔属
Trilophozia,三裂苔属
Tritomaria,三瓣苔属
Lophozia ascendens,倾立裂叶苔
Lophozia guttulata,油滴裂叶苔
Lophozia handelii,全缘裂叶苔
Lophozia lacerata,刺瓣裂叶苔
Lophozia ventricosa,裂叶苔
Lophozia wenzelii,圆叶裂叶苔
Lophoziopsis excisa,拟裂叶苔
Lophoziopsis longidens,长齿拟裂叶苔
Trilophozia quinquedentata,三裂苔
Tritomaria exsecta,三瓣苔
Tritomaria exsectiformis,多角胞三瓣苔
Tritomaria quinquedentata f. gracilis,小叶密叶三瓣苔
Tritomaria quinquedentata f. quinquuedentata,密叶三瓣苔(原变型)
Lunularia,半月苔属
Lunularia cruciata,半月苔
Makinoa,南溪苔属
Makinoa crispata,南溪苔
Marchantia,地钱属
Marchantia aquatica,全缘地钱
Marchantia emarginata,楔瓣地钱
Marchantia emarginata subsp. emarginata,楔瓣地钱(原亚种)
Marchantia emarginata subsp. tosana,东亚地钱
Marchantia formosana,台湾地钱
Marchantia nepalensis,尼泊尔地钱
Marchantia paleacea,粗裂地钱
Marchantia paleacea subsp. diptera,凤兜地钱
Marchantia paleacea subsp. paleacea,粗裂地钱(原亚种)
Marchantia papillata,疣鳞地钱
Marchantia papillata subsp. grossibarba,粗疣鳞地钱
Marchantia polymorpha,地钱
Marchantia polymorpha subsp. montivagans,高山地钱
Marchantia polymorpha subsp. polymorpha,地钱(原亚种)
Marchantia polymorpha subsp. ruderalis,土生地钱
Marchantia quadrata,背托苔
Marchantia robusta,巨雄地钱
Marchantia stoloniscyphula,拟地钱
Marchantia subintegra,拳卷地钱
Mastigophora,须苔属
Mastigophora diclados,硬须苔
Mastigophora woodsii,须苔
Apometzgeria,毛叉苔属
Metzgeria,叉苔属
Apometzgeria pubescens,毛叉苔
Apometzgeria pubescens var. pubescens,毛叉苔(原变种)
Metzgeria conjugata,平叉苔
Metzgeria consanguinea,狭尖叉苔
Metzgeria crassipilis,背胞叉苔
Metzgeria darjeelingensis,蓝叉苔
Metzgeria duricosta,细肋叉苔
Metzgeria foliicola,背毛叉苔
Metzgeria formosana,台湾叉苔
Metzgeria fruticulosa,大叉苔
Metzgeria furcata,叉苔
Metzgeria kinabaluensis,二歧叉苔
Metzgeria leptoneura,钩毛叉苔
Metzgeria lindbergii,林氏叉苔
Metzgeria mauina,长叉苔
Hattorianthus,拟带叶苔属
Hattorianthus erimonus,拟带叶苔
Monosolenium,单月苔属
Monosolenium tenerum,单月苔
Mylia,小萼苔属
Sinomylia,华萼苔属
Mylia nuda,裸萼小萼苔
Mylia taylorii,小萼苔
Mylia verrucosa,瘤萼小萼苔
Sinomylia chenii,华萼苔
Neotrichocolea,新绒苔属
Trichocoleopsis,囊绒苔属
Neotrichocolea bissetii,新绒苔
Trichocoleopsis sacculata,囊绒苔
Trichocoleopsis tsinlingensis,秦岭囊绒苔
Notoscyphus,假苞苔属
Notoscyphus lutescens,假苞苔
Notoscyphus paroicus,东亚假苞苔
Pallavicinia,带叶苔属
Pallavicinia ambigua,多形带叶苔
Pallavicinia levieri,暖地带叶苔
Pallavicinia lyellii,带叶苔
Pallavicinia subciliata,长刺带叶苔
Apopellia,鹿角苔属
Pellia,溪苔属
Apopellia endiviifolia,鹿角苔
Pellia epiphylla,溪苔
Pellia neesiana,波绿溪苔
Chiastocaulon,树羽苔属
Pedinophyllum,平叶苔属
Plagiochila,羽苔属
Chiastocaulon braunianum,褐色对羽苔
Chiastocaulon dendroides,树羽苔
Chiastocaulon fimbriatum,尖齿对羽苔
Chiastocaulon mayebarae,稀齿对羽苔
Chiastocaulon oppositum,对羽苔
Chiastocaulon theriotianum,卵叶对羽苔
Pedinophyllum interruptum,平叶苔
Pedinophyllum truncatum,截叶平叶苔
Plagiochila akiyamae,埃氏羽苔
Plagiochila arbuscula,树形羽苔
Plagiochila aspericaulis,有刺羽苔
Plagiochila asplenioides,羽苔
Plagiochila assamica,阿萨羽苔
Plagiochila bantamensis,刀叶羽苔
Plagiochila beddomei,贝多羽苔
Plagiochila biondiana,秦岭羽苔
Plagiochila bischleriana,大明叶羽苔
Plagiochila blepharophora,海岛羽苔
Plagiochila carringtonii,加氏羽苔
Plagiochila carringtonii subsp. lobuchensis,卢贝加氏羽苔
Plagiochila caulimammillosa,瘤茎羽苔
Plagiochila chenii,陈氏羽苔
Plagiochila chinensis,中华羽苔
Plagiochila corticola,树生羽苔
Plagiochila cuspidata,尖头羽苔
Plagiochila debilis,脆叶羽苔
Plagiochila defolians,落叶羽苔
Plagiochila delavayi,德氏羽苔
Plagiochila denticulata,细齿羽苔
Plagiochila detecta,亚洲羽苔
Plagiochila devexa,小叶羽苔
Plagiochila durelii,密鳞羽苔
Plagiochila durelii subsp. durelii,密鳞羽苔(原亚种)
Plagiochila durelii subsp. guizhouensis,贵州密鳞羽苔
Plagiochila duthiana,圆叶羽苔
Plagiochila elegans,大叶羽苔
Plagiochila emeiensis,峨眉羽苔
Plagiochila erlangensis,二郎羽苔
Plagiochila exigua,纤幼羽苔
Plagiochila flexuosa,长叶羽苔
Plagiochila fordiana,福氏羽苔
Plagiochila fruticosa,羽枝羽苔
Plagiochila furcifolia,裂叶羽苔
Plagiochila ghatiensis,鸽尾羽苔
Plagiochila gracilis,纤细羽苔
Plagiochila grollei,古氏羽苔
Plagiochila grossa,拟纤幼羽苔
Plagiochila gymnoclada,裸茎羽苔
Plagiochila hakkodensis,齿萼羽苔
Plagiochila himalayana,喜马拉雅羽苔
Plagiochila hyalodermica,明层羽苔
Plagiochila integrilobula,背瓣羽苔
Plagiochila junghuhniana,容氏羽苔
Plagiochila khasiana,卡西羽苔
Plagiochila kunmingensis,昆明羽苔
Plagiochila magna,粗壮羽苔
Plagiochila microdonta,微齿羽苔
Plagiochila multipinnula,复枝羽苔
Plagiochila nepalensis,尼泊尔羽苔
Plagiochila nitens,明叶羽苔
Plagiochila oblonga,矩叶羽苔
Plagiochila obtusa,钝叶羽苔
Plagiochila ovalifolia,卵叶羽苔
Plagiochila paraphyllosa,拟刺羽苔
Plagiochila parvifolia,圆头羽苔
Plagiochila parviramifera,小枝羽苔
Plagiochila peculiaris,大蠕形羽苔
Plagiochila perserrata,多齿羽苔
Plagiochila poeltii,波氏羽苔
Plagiochila porelloides,密齿羽苔
Plagiochila pseudofirma,粗齿羽苔
Plagiochila pseudopoeltii,拟波氏羽苔
Plagiochila pseudorenitens,尖齿羽苔
Plagiochila pulcherrima,美姿羽苔
Plagiochila recurvata,反叶羽苔
Plagiochila retusa,微凹羽苔
Plagiochila salacensis,沙拉羽苔
Plagiochila sciophila,刺叶羽苔
Plagiochila secretifolia,疏叶羽苔
Plagiochila semidecurrens,延叶羽苔
Plagiochila shangaica,上海羽苔
Plagiochila sichuanensis,四川羽苔
Plagiochila singularis,密疣羽苔
Plagiochila stevensiana,司氏羽苔
Plagiochila subtropica,大耳羽苔
Plagiochila tagawae,戴氏羽苔
Plagiochila taiwanensis,台湾羽苔
Plagiochila trabeculata,狭叶羽苔
Plagiochila vexans,短齿羽苔
Plagiochila wangii,王氏羽苔
Plagiochila wightii,韦氏羽苔
Plagiochila yulungensis,玉龙羽苔
Plagiochila zangii,臧氏羽苔
Plagiochila zhuensis,朱氏羽苔
Plagiochila zonata,短羽苔
Pleurozia,紫叶苔属
Pleurozia acinosa,南亚紫叶苔
Pleurozia caledonica,宽叶紫叶苔
Pleurozia gigantea,大紫叶苔
Pleurozia purpurea,紫叶苔
Pleurozia subinflata,狭尖紫叶苔
Ascidiota,耳坠苔属
Macvicaria,多瓣苔属
Porella,光萼苔属
Ascidiota blepharophylla,耳坠苔
Macvicaria ulophylla,多瓣苔
Porella acutifolia,尖瓣光萼苔
Porella acutifolia subsp. acutifolia,尖瓣光萼苔(原亚种)
Porella acutifolia subsp. tosana,东亚尖瓣光萼苔
Porella acutifolia var. birmanica,缅甸尖瓣光萼苔
Porella acutifolia var. lancifolia,细叶尖瓣光萼苔
Porella arboris-vitae,树生光萼苔
Porella caespitans,丛生光萼苔
Porella caespitans var. caespitans,丛生光萼苔(原变种)
Porella caespitans var. cordifolia,心叶丛生光萼苔
Porella caespitans var. nipponica,日本丛生光萼苔
Porella caespitans var. setigera,细柄丛生光萼苔
Porella campylophylla,粗齿光萼苔
Porella campylophylla var. campylophylla,粗齿光萼苔(原变种)
Porella campylophylla var. ligulifera,舌叶粗齿光萼苔
Porella chenii,陈氏光萼苔
Porella chinensis,中华光萼苔
Porella chinensis var. chinensis,中华光萼苔(原变种)
Porella chinensis var. decurrens,延叶中华光萼苔
Porella cordaeana,心叶光萼苔
Porella densifolia,密叶光萼苔
Porella densifolia subsp. appendiculata,长叶密叶光萼苔
Porella densifolia subsp. densifolia,密叶光萼苔(原亚种)
Porella densifolia var. fallax,脱叶密叶光萼苔
Porella densifolia var. paraphyllina,细尖叶密叶光萼苔
Porella fengii,小叶光萼苔
Porella frullanioides,耳叶光萼苔
Porella gracillima,细光萼苔
Porella grandifolia,大叶光萼苔
Porella grandiloba,巨瓣光萼苔
Porella handelii,尾尖光萼苔
Porella hsinganica,兴安光萼苔
Porella japonica,日本光萼苔
Porella japonica var. densespinosa,密齿日本光萼苔
Porella japonica var. japonica,日本光萼苔(原变种)
Porella javanica,全缘光萼苔
Porella latifolia,宽叶光萼苔
Porella longifolia,长叶光萼苔
Porella madagascariensis,基齿光萼苔
Porella nitens,亮叶光萼苔
Porella nitidula,绢丝光萼苔
Porella oblongifolia,高山光萼苔
Porella obtusata,钝叶光萼苔
Porella obtusiloba,钝瓣光萼苔
Porella perrottetiana,毛边光萼苔
Porella perrottetiana var. ciliatodentata,齿叶毛边光萼苔
Porella perrottetiana var. perrottetiana,毛边光萼苔(原变种)
Porella pinnata,光萼苔
Porella planifolia,平叶光萼苔
Porella platyphylla,温带光萼苔
Porella platyphylla var. platyphylla,温带光萼苔(原变种)
Porella platyphylla var. subcrenulata,圆齿温带光萼苔
Porella plicata,褶叶光萼苔
Porella plumosa,小瓣光萼苔
Porella revoluta,卷叶光萼苔
Porella revoluta var. propingua,陕西卷叶光萼苔
Porella revoluta var. revoluta,卷叶光萼苔(原变种)
Porella spinulosa,疏刺光萼苔
Porella stephaniana,齿边光萼苔
Porella subobtusa,细齿光萼苔
Porella subparaphyllina,齿尖光萼苔
Porella truncata,截叶光萼苔
Porella undatorevoluta,卷波光萼苔
Porella urceolata,瓶萼光萼苔
Porella vernicosa,毛缘光萼苔
Pseudolepicolea,拟复叉苔属
Temnoma,裂片苔属
Pseudolepicolea quadrilaciniata,拟复叉苔
Temnoma setigerum,多毛裂片苔
Ptilidium,毛叶苔属
Ptilidium ciliare,毛叶苔
Ptilidium pulcherrimum,深裂毛叶苔
Radula,扁萼苔属
Radula acuminata,尖舌扁萼苔
Radula amoena,美丽扁萼苔
Radula anceps,齿边扁萼苔
Radula apiculata,尖瓣扁萼苔
Radula aquilegia,长枝扁萼苔
Radula assamica,阿萨密扁萼苔
Radula auriculata,耳瓣扁萼苔
Radula borneensis,婆罗洲扁萼苔
Radula caduca,断叶扁萼苔
Radula campanigera,钟萼扁萼苔
Radula cavifolia,大瓣扁萼苔
Radula chinensis,中华扁萼苔
Radula complanata,扁萼苔
Radula falcata,镰叶扁萼苔
Radula formosa,台湾扁萼苔
Radula gedena,异胞扁萼苔
Radula inouei,圆瓣扁萼苔
Radula japonica,日本扁萼苔
Radula javanica,爪哇扁萼苔
Radula kojana,尖叶扁萼苔
Radula kurzii,曲瓣扁萼苔
Radula lacerata,刺边扁萼苔
Radula lindenbergiana,芽胞扁萼苔
Radula madagascariensis,热带扁萼苔
Radula meyeri,迈氏扁萼苔
Radula multiflora,多萼扁萼苔
Radula nymannii,角瓣扁萼苔
Radula obscura,树生扁萼苔
Radula obtusiloba,钝瓣扁萼苔
Radula okamurana,厚角扁萼苔
Radula onraedtii,南亚扁萼苔
Radula oyamensis,东亚扁萼苔
Radula perrottetii,直瓣扁萼苔
Radula philippinensis,菲律宾扁萼苔
Radula protensa,长舌扁萼苔
Radula reflexa,卷尖扁萼苔
Radula retroflexa,反叶扁萼苔
Radula retroflexa var. fauciloba,月瓣反叶扁萼苔
Radula retroflexa var. retroflexa,反叶扁萼苔(原变种)
Radula stellatogemmipara,星苞扁萼苔
Radula sumatrana,大扁萼苔
Radula tjibodensis,细茎扁萼苔
Radula tokiensis,东京扁萼苔
Radula yangii,短萼扁萼苔
Riccia,钱苔属
Ricciocarpos,浮苔属
Riccia cavernosa,宽瓣钱苔
Riccia chinensis,中华钱苔
Riccia convexa,凸面钱苔
Riccia crystallina,片叶钱苔
Riccia delavayi,云南钱苔
Riccia esulcata,荒地钱苔
Riccia fertilissima,多孢钱苔
Riccia fluitans,叉钱苔
Riccia frostii,小孢钱苔
Riccia glauca,钱苔
Riccia glauca var. ciliaris,刺边钱苔
Riccia glauca var. glauca,钱苔(原变种)
Riccia huebeneriana,稀枝钱苔
Riccia kirinensis,吉林钱苔
Riccia liaoningensis,辽宁钱苔
Riccia nigrella,黑鳞钱苔
Riccia nipponica,日本钱苔
Riccia pseudofluitans,突果钱苔
Riccia satoi,佐藤钱苔
Riccia setigera,刺毛钱苔
Riccia sorocarpa,肥果钱苔
Ricciocarpos natans,浮苔
Saccogyna,囊萼苔属
Saccogyna viticulosa,囊萼苔
Diplophyllum,折叶苔属
Douinia,蜡叶苔属
Scapania,合叶苔属
Schistochilopsis,拟歧舌苔属
Diplophyllum albicans,折叶苔
Diplophyllum apiculatum,尖瓣折叶苔
Diplophyllum obtusifolium,钝瓣折叶苔
Diplophyllum serrulatum,齿边折叶苔
Diplophyllum taxifolium,鳞叶折叶苔
Diplophyllum trollii,裂齿折叶苔
Douinia plicata,大褶蜡叶苔
Scapania ampliata,尖瓣合叶苔
Scapania apiculata,多胞合叶苔
Scapania bolanderi,腋毛合叶苔
Scapania carinthiaca,厚边合叶苔
Scapania ciliata,刺边合叶苔
Scapania ciliatospinosa,刺毛合叶苔
Scapania contorta,宽脊合叶苔
Scapania curta,短合叶苔
Scapania cuspiduligera,兜瓣合叶苔
Scapania davidii,凹瓣合叶苔
Scapania delavayi,德氏合叶苔
Scapania ferruginaeoides,拟褐色合叶苔
Scapania ferruginea,褐色合叶苔
Scapania gaochii,高氏合叶苔
Scapania gigantea,紫色合叶苔
Scapania glaucocephala,长尖合叶苔
Scapania glaucoviridis,灰绿合叶苔
Scapania gracilis,纤细合叶苔
Scapania griffithii,格氏合叶苔
Scapania harae,复瘤合叶苔
Scapania hians,秦岭合叶苔
Scapania irrigua,湿生合叶苔
Scapania javanica,爪哇合叶苔
Scapania karl-muelleri,克氏合叶苔
Scapania koponenii,柯氏合叶苔
Scapania ligulata,舌叶合叶苔
Scapania ligulata subsp. ligulata,舌叶合叶苔(原亚种)
Scapania ligulata subsp. stephanii,多齿舌叶合叶苔
Scapania macroparaphyllia,片毛合叶苔
Scapania massalongoi,腐木合叶苔
Scapania mucronata,尖叶合叶苔
Scapania nemorea,林地合叶苔
Scapania nepalensis,尼泊尔合叶苔
Scapania nimbosa,离瓣合叶苔
Scapania nimbosa var. nimbosa,离瓣合叶苔(原变种)
Scapania nimbosa var. yunnanensis,云南离瓣合叶苔
